,x,y,z,Vx,Vy,Vz
124,316.50160999999997,-1257.7405,44.931,49.124,40.172,-5.465
125,316.53442,-1270.4165,46.15924999999999,0.0,-0.0,-22.322
126,316.62892,-1249.52066,44.1,54.936,35.282,-4.514
127,316.64412,-1265.81413,45.48025,23.771,26.181,-8.684
128,316.64668,-1246.7367199999999,44.2,55.844,36.623,-10.738
129,316.72365,-1255.51673,44.566250000000004,51.781,42.383,-3.301
130,316.86187,-1250.55896,44.05,55.125,36.484,-2.196
131,316.90216999999996,-1248.3148500000002,44.171499999999995,56.256,35.186,-8.186
132,316.91454,-1264.62643,45.27525,28.799,29.152,-5.908
133,317.00927,-1253.40486,44.165499999999994,53.907,41.083,-0.473
134,317.05253999999996,-1260.14371,44.91524999999999,44.277,35.848,-3.671
135,317.10371000000004,-1268.66591,45.90175,15.872,16.321,-17.128
136,317.38068,-1259.1615900000002,44.8075,47.459,38.345,-3.127
137,317.42193,-1256.6739,44.626,51.632,42.628,-2.89
138,317.43446,-1266.61435,45.517250000000004,23.914,25.519,-9.351
139,317.44568,-1270.12225,46.043,8.751,7.498,-21.161
140,317.57195,-1261.48775,44.902499999999996,41.553,34.518,-2.203
141,317.68582000000004,-1244.23628,44.0145,63.723,44.564,-11.407
142,317.69188,-1257.55933,44.678,50.911,41.883,-2.347
143,317.7217,-1271.4824099999998,46.025499999999994,1.177,-1.057,-18.601
144,317.72493,-1262.86707,44.982,37.281,33.118,-2.579
145,317.73239,-1249.39486,44.036750000000005,58.986,36.554,-6.135
146,317.75054,-1252.6880800000001,43.99575,55.91,40.887,0.337
147,317.86766,-1255.29497,44.2475,53.086,42.999,-0.726
148,317.88659,-1267.5529,45.598,22.633,23.163,-10.533
149,317.89236999999997,-1260.27406,44.775,45.566,36.969,-1.838
150,318.02207,-1254.02949,44.025749999999995,54.705,42.376,0.539
151,318.08311,-1251.46054,43.964,57.979,39.399,-0.931
152,318.18682,-1245.91448,43.973,63.547,40.145,-9.687
153,318.28,-1266.26856,45.374,27.735,28.267,-6.687
154,318.28445,-1247.45966,44.00675,62.719,37.779,-9.36
155,318.35406,-1264.73767,45.14375,32.443,31.712,-4.536
156,318.35693,-1269.82799,45.8635,15.32,12.483,-15.265
157,318.60844000000003,-1244.7903700000002,43.805,66.209,43.758,-8.209
158,318.62271000000004,-1258.95874,44.625,49.368,40.172,-1.587
159,318.70853999999997,-1256.33898,44.23375,52.973,43.04,-0.108
160,318.72605,-1255.2818,44.025999999999996,53.897,43.02,0.612
161,318.78399,-1252.15875,43.84875,58.479,40.97,0.732
162,318.79296999999997,-1270.90535,45.868750000000006,12.35,8.203,-15.162
163,318.86028999999996,-1267.98122,45.545249999999996,24.765,23.044,-9.361
164,318.89738,-1262.54296,44.87799999999999,40.56,35.46,-2.704
165,318.90416999999997,-1250.5936299999998,43.853500000000004,61.46,39.281,-1.891
166,318.90896999999995,-1272.5483100000001,45.904500000000006,0.0,-0.0,-15.162
167,318.93498999999997,-1248.66277,43.914249999999996,64.038,38.496,-5.559
168,318.99015,-1257.73233,44.40125,51.659,42.167,-0.748
169,318.99705,-1243.33796,43.601,69.31,46.35,-6.02
170,319.03088,-1260.59415,44.701,46.094,38.101,-1.839
171,319.08691999999996,-1254.21935,43.88675,55.46,42.677,1.252
172,319.09592,-1253.0984099999998,43.82149999999999,57.273,42.026,1.523
173,319.19059000000004,-1261.38593,44.75575,44.095,37.302,-2.082
174,319.263,-1247.63209,43.806250000000006,65.835,39.587,-5.514
175,319.26406,-1244.34121,43.592000000000006,69.01,45.078,-5.223
176,319.26655,-1269.1208100000001,45.642500000000005,21.715,17.749,-11.339
177,319.34702000000004,-1263.8263,44.993500000000004,37.511,34.55,-4.242
178,319.35001,-1265.3202800000001,45.2,33.176,31.808,-6.544
179,319.53107,-1245.34447,43.584500000000006,69.145,43.735,-3.564
180,319.71776,-1259.24646,44.527499999999996,49.208,40.56,-1.687
181,319.84592,-1243.79103,43.393,70.392,46.062,-3.623
182,319.86425,-1270.3283000000001,45.6505,19.193,12.861,-11.193
183,319.89825,-1252.6452199999999,43.725,58.945,42.21,1.255
184,319.95254,-1262.68167,44.80475,41.53,36.837,-3.06
185,319.95326,-1267.92925,45.45,27.744,23.954,-9.008
186,319.95971000000003,-1266.2672,45.302499999999995,32.193,30.153,-8.395
187,319.98244,-1246.67037,43.55625,69.178,42.239,-2.005
188,320.09625,-1273.61421,45.778,0.0,-0.0,-13.144
189,320.10552,-1260.59753,44.5815,46.535,39.254,-1.683
190,320.10675,-1255.46564,43.87775,54.056,43.245,0.213
191,320.15565000000004,-1251.16702,43.62,62.573,41.507,1.076
192,320.2582,-1272.25027,45.65875,10.554,5.338,-11.695
193,320.28762,-1256.9009099999998,44.0615,52.464,42.976,-0.599
194,320.31565,-1264.4094599999999,45.047000000000004,37.677,34.935,-6.0
195,320.32715,-1242.46768,43.06225,72.305,46.075,-2.532
196,320.33865999999995,-1268.8694699999999,45.46175,25.715,19.896,-9.125
197,320.34739,-1253.99742,43.75,56.276,43.243,0.708
198,320.53477000000004,-1248.04033,43.57749999999999,68.86,42.101,-1.551
199,320.54883,-1249.80766,43.558749999999996,66.184,41.495,0.203
200,320.61274,-1251.77549,43.585499999999996,61.59,42.315,1.595
201,320.69478000000004,-1244.2441000000001,43.16325,72.086,46.4,-1.203
202,320.703,-1271.21068,45.57875,17.791,10.162,-10.212
203,320.85422,-1259.18823,44.3465,49.127,41.187,-1.249
204,320.89208,-1267.5012,45.4,31.506,26.503,-10.526
205,320.94966,-1261.6015300000001,44.525,44.971,39.025,-0.965
206,320.98748,-1258.0036100000002,44.171499999999995,50.932,42.359,-1.207
207,321.17553999999996,-1260.3495500000001,44.375,47.223,40.275,-0.518
208,321.20609,-1265.34196,45.139,37.221,33.858,-8.448
209,321.21778,-1254.77398,43.8,55.047,44.128,-0.755
210,321.25971999999996,-1253.46486,43.6565,57.49,44.128,0.117
211,321.28352,-1274.68011,45.607,0.0,0.0,-10.503
212,321.30296999999996,-1246.0997399999999,43.191250000000004,71.532,45.574,0.878
213,321.35777,-1273.70498,45.524,6.497,2.683,-9.461
214,321.38809999999995,-1262.82679,44.63975,43.025,38.361,-1.929
215,321.4833,-1270.52406,45.441,23.077,13.92,-8.674
216,321.51008,-1251.14914,43.414249999999996,63.795,43.645,2.766
217,321.60742,-1271.9522299999999,45.4745,17.227,8.679,-8.56
218,321.64215,-1256.10189,43.946,53.061,43.926,-1.782
219,321.67565,-1241.62602,42.488749999999996,72.807,45.457,-1.375
220,321.76941,-1248.1441399999999,43.259,70.07,44.792,1.289
221,321.81846,-1266.62653,45.276250000000005,35.718,30.537,-10.72
222,321.88046999999995,-1247.04692,43.1865,71.295,45.771,1.08
223,321.90128999999996,-1264.4617700000001,44.8765,40.33,36.374,-5.166
224,321.97258,-1261.15099,44.312999999999995,46.647,39.932,0.368
225,322.0068,-1269.17419,45.375,29.257,20.273,-9.781
226,322.0326,-1252.6611799999998,43.4925,59.762,45.161,1.091
227,322.03407,-1243.38812,42.602999999999994,72.685,47.188,-0.53
228,322.03568,-1267.28979,45.3065,34.654,28.276,-11.157
229,322.11454,-1263.296,44.631,43.045,38.321,-2.15
230,322.1522,-1249.28288,43.230000000000004,68.364,45.169,2.802
231,322.31203000000005,-1254.60598,43.75725,55.396,45.521,-2.267
232,322.37607,-1270.3915200000001,45.34975,26.091,15.702,-8.668
233,322.3925,-1245.15023,42.75425,72.08,48.141,1.381
234,322.43742,-1259.62719,44.15675,49.015,41.043,-0.105
235,322.43771000000004,-1258.4621200000001,44.07275,50.28,42.066,-1.0
236,322.4708,-1275.74602,45.603500000000004,-0.0,0.0,-11.077
237,322.53634999999997,-1268.0974199999998,45.298,33.706,25.549,-10.985
238,322.54505,-1274.7708799999998,45.47375,6.141,2.358,-9.317
239,322.60690999999997,-1250.72276,43.21125,65.176,46.06,3.579
240,322.61836999999997,-1262.31793,44.425,45.573,39.441,-0.753
241,322.6193,-1273.79574,45.425,11.356,5.113,-8.627
242,322.88235,-1253.62368,43.5765,57.547,46.585,-1.084
243,322.90959000000004,-1257.33652,43.974999999999994,51.817,43.33,-2.509
244,322.94606,-1246.3892700000001,42.8655,71.593,48.522,0.968
245,322.99938000000003,-1242.18225,42.166000000000004,71.646,47.275,0.608
246,323.01432,-1264.58802,44.73725,42.328,37.083,-3.512
247,323.01753,-1240.77383,42.06100000000001,70.485,45.439,1.181
248,323.02072,-1265.7548100000001,44.93075,39.963,34.236,-6.648
249,323.04302,-1256.27031,43.95,53.296,44.683,-3.69
250,323.04323999999997,-1272.71505,45.38875,18.288,8.786,-8.702
251,323.09873,-1249.92013,43.12525,67.103,47.217,3.293
252,323.10245000000003,-1271.55584,45.347,23.533,12.621,-8.611
253,323.20759999999996,-1251.85056,43.271,62.415,47.534,2.551
254,323.25281,-1275.5412900000001,45.5195,5.775,2.04,-10.482
255,323.26617,-1267.34369,45.106,37.209,29.246,-9.08
256,323.30336,-1255.1274799999999,43.8235,54.992,45.982,-4.038
257,323.31431,-1261.02102,44.24875,48.301,40.163,-0.985
258,323.31906,-1245.42139,42.62425,71.511,49.469,0.674
259,323.32594,-1243.3130800000001,42.191500000000005,71.432,48.979,1.242
260,323.38771999999994,-1258.05543,44.0,51.367,42.257,-2.024
261,323.46889,-1269.01275,45.21775,33.345,22.712,-9.39
262,323.5197,-1263.25153,44.521,45.791,39.186,-2.298
263,323.54809,-1274.4977099999999,45.4,12.018,5.318,-8.722
264,323.57367999999997,-1248.1821499999999,42.9655,70.334,48.773,1.457
265,323.65808000000004,-1276.8119199999999,45.62075,1.686,-1.513,-11.7
266,323.69918,-1259.3708700000002,44.07925,50.391,40.928,-1.628
267,323.95507000000003,-1272.91137,45.32775,20.527,10.188,-8.991
268,323.96024,-1254.19326,43.6365,57.111,47.638,-3.444
269,324.03481,-1275.3365700000002,45.408,10.861,4.538,-9.615
270,324.06268,-1244.56197,42.3685,70.753,50.578,0.032
271,324.07303,-1265.52246,44.7415,43.139,35.803,-4.431
272,324.09196000000003,-1261.9041200000001,44.3715,48.666,40.06,-3.352
273,324.12478999999996,-1264.24754,44.586999999999996,45.551,38.483,-3.906
274,324.14982000000003,-1271.8433200000002,45.2755,25.712,13.648,-9.044
275,324.23308000000003,-1246.22723,42.71875,71.012,50.889,-0.866
276,324.24199,-1250.2363300000002,43.01475,66.424,49.485,3.0
277,324.24558,-1266.81328,44.895999999999994,40.789,31.822,-6.497
278,324.25644,-1270.61723,45.18725,30.393,17.802,-8.336
279,324.26027,-1263.09552,44.480000000000004,47.65,39.775,-4.071
280,324.27828999999997,-1252.6541100000002,43.304750000000006,60.902,49.19,0.307
281,324.32311,-1242.73848,42.052499999999995,70.051,49.46,0.679
282,324.33459000000005,-1241.31981,41.875,69.247,47.573,1.993
283,324.34607,-1239.90115,41.679500000000004,67.5,45.382,4.513
284,324.44034999999997,-1269.5828700000002,45.131,34.221,21.683,-8.383
285,324.49726,-1256.01224,43.87725,54.656,45.402,-5.882
286,324.52898999999996,-1257.9363,43.95,52.386,42.095,-3.767
287,324.54647,-1268.02028,45.004,38.753,27.708,-7.497
288,324.64135,-1248.58085,42.847500000000004,69.377,50.539,1.368
289,324.65326,-1274.15547,45.286,18.227,8.65,-8.661
290,324.72333000000003,-1260.0506599999999,44.117,51.051,40.31,-3.069
291,324.84535,-1277.8778200000002,45.55475,0.0,-0.0,-13.202
292,325.04978000000006,-1251.3834299999999,43.068,64.19,50.738,1.477
293,325.10417,-1262.24834,44.35325,50.363,40.571,-5.184
294,325.10463,-1265.80006,44.725,45.648,36.113,-6.418
295,325.12996000000004,-1248.08821,42.775,70.022,51.606,-0.226
296,325.27508,-1271.7035700000001,45.16675,30.384,16.33,-9.08
297,325.29434999999995,-1275.9753400000002,45.343,15.045,6.746,-10.444
298,325.34641999999997,-1259.34244,43.97425,52.174,40.504,-2.626
299,325.4416,-1240.62481,41.75,67.926,47.962,2.684
300,325.47275,-1242.2563,41.9825,68.7,49.954,0.196
301,325.48121999999995,-1254.3962,43.59524999999999,58.33,48.584,-5.268
302,325.48537,-1269.7392399999999,45.009,37.18,22.511,-7.701
303,325.49823,-1261.01375,44.1275,51.785,40.337,-3.866
304,325.51356,-1249.1766100000002,42.77725,68.582,51.7,1.024
305,325.59882,-1274.92712,45.254,19.905,9.576,-9.63
306,325.62870000000004,-1244.7031200000001,42.317,70.044,51.905,-1.851
